Deal ID;Companies;Net Income;Current Financing Status;Year Founded;Primary Industry Sector;Primary Industry Group;Deal Size;Post Valuation;Deal Date;Deal Type;Investors;PitchBook Link
30625-93T;1 Mainstream;;Formerly VC-backed;2012;Information Technology;Software;;;29-Jul-2013;Early Stage VC;Daniel Leff, DCM Ventures, Freelands Ventures, Menlo Ventures(Mark Siegel), Sky Startup Investments & Partnerships, Waverley Capital;View Company Online
47091-07T;1 Mainstream;;Formerly VC-backed;2012;Information Technology;Software;4,53;;16-Mar-2015;Early Stage VC;Broadway Angels, Sky Startup Investments & Partnerships, The Perkins Fund;View Company Online
59938-75T;1 Mainstream;;Formerly VC-backed;2012;Information Technology;Software;112,71;112,71;28-Feb-2016;Merger/Acquisition;Cisco Systems (NAS: CSCO);View Company Online
233118-28T;1.8 Meters Marine Technology;;Venture Capital-Backed;2023;Materials and Resources;Agriculture;;;03-Aug-2023;Angel (individual);Yun Ma;View Company Online
253072-54T;1.security;;Venture Capital-Backed;2023;Information Technology;Software;0,46;;27-Feb-2024;Seed Round;Sunfish Partners;View Company Online
18067-33T;1000Memories;;Formerly VC-backed;2010;Consumer Products and Services (B2C);Media;;;01-Jul-2010;Seed Round;Founder Collective;View Company Online
18067-60T;1000Memories;;Formerly VC-backed;2010;Consumer Products and Services (B2C);Media;0,39;;01-Aug-2010;Angel (individual);Benjamin Ling(Benjamin Ling);View Company Online
18067-69T;1000Memories;;Formerly VC-backed;2010;Consumer Products and Services (B2C);Media;1,84;;16-Feb-2011;Early Stage VC;Babak Yazdani(Babak Yazdani), Caterina Fake(Caterina Fake), Christopher Sacca(Christopher Sacca), Felicis(Aydin Senkut), Floodgate(Michael Maples), Greylock(David Thacker), Keith Rabois(Keith Rabois), Lowercase Capital(Christopher Sacca), Paul Buchheit(Paul Buchheit), Ronald Conway(Ronald Conway), Signatures Capital, SV Angel(Ronald Conway);View Company Online
22423-51T;1000Memories;;Formerly VC-backed;2010;Consumer Products and Services (B2C);Media;;;03-Oct-2012;Merger/Acquisition;Ancestry;View Company Online
208549-72T;1000Memories;;Formerly VC-backed;2010;Consumer Products and Services (B2C);Media;;;01-Jun-2010;Accelerator/Incubator;Y Combinator;View Company Online
105424-48T;1000X2025;;Accelerator/Incubator Backed;2015;Information Technology;Software;0,03;;;Accelerator/Incubator;Camelback Ventures;View Company Online
119866-60T;1003 POLO;;Venture Capital-Backed;2018;Consumer Products and Services (B2C);Services (Non-Financial);;;18-Jun-2019;Early Stage VC;Lakala Payment (SHE: 300773), Panda Capital Asia, PurpleSky Capital;View Company Online
136871-56T;100Kuai;;Venture Capital-Backed;2015;Information Technology;Software;1,42;;03-Jan-2016;Seed Round;Jade Stone Venture Capital, Xue Manzi(Xue Manzi);View Company Online
136872-01T;100Kuai;;Venture Capital-Backed;2015;Information Technology;Software;13,80;;17-Feb-2016;Early Stage VC;Yurun Food Group (HKG: 01068), ZE Capital Investment Management;View Company Online
136872-46T;100Kuai;;Venture Capital-Backed;2015;Information Technology;Software;6,88;;02-Mar-2016;Early Stage VC;Fenghou Capital, Shanghai Dingfeng Asset Management;View Company Online
159586-57T;100Pinke;;Venture Capital-Backed;2013;Consumer Products and Services (B2C);Services (Non-Financial);;;06-Oct-2017;Early Stage VC;Zijinhui Venture Capital;View Company Online
136882-54T;100run;;Venture Capital-Backed;2012;Financial Services;Capital Markets/Institutions;;;17-Jan-2014;Early Stage VC;Jupai Holdings (PINX: JPPYY);View Company Online
266066-29T;100XBio;;Accelerator/Incubator Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;;Accelerator/Incubator;C2I Accelerator;View Company Online
266068-81T;100XBio;;Accelerator/Incubator Backed;2023;Healthcare;Pharmaceuticals and Biotechnology;;;31-May-2024;Accelerator/Incubator;Bioincubator;View Company Online
256051-00T;10AI;;Accelerator/Incubator Backed;2021;Information Technology;Software;;;01-Apr-2023;Accelerator/Incubator;AI.STARTUP.HUB;View Company Online
126245-98T;10K Genomics;;Venture Capital-Backed;2018;Healthcare;Pharmaceuticals and Biotechnology;0,66;;22-Mar-2019;Early Stage VC;Empower Investment (China);View Company Online
166259-35T;10K Genomics;;Venture Capital-Backed;2018;Healthcare;Pharmaceuticals and Biotechnology;;;04-Feb-2021;Early Stage VC;Northern Light Venture Capital;View Company Online
185891-59T;10K Genomics;;Venture Capital-Backed;2018;Healthcare;Pharmaceuticals and Biotechnology;12,57;;29-Dec-2020;Early Stage VC;CDBI Partners, Northern Light Venture Capital, Unifortune Investment;View Company Online
157046-86T;10Lab;;Venture Capital-Backed;2015;Information Technology;Software;0,67;;01-Apr-2015;Early Stage VC;;View Company Online
168051-79T;10Life;;Venture Capital-Backed;2017;Consumer Products and Services (B2C);Media;0,12;;01-Jun-2017;Seed Round;Cyberport Hong Kong;View Company Online
204467-59T;10Life;;Venture Capital-Backed;2017;Consumer Products and Services (B2C);Media;0,23;;03-Jul-2019;Angel (individual);;View Company Online
204467-95T;10Life;;Venture Capital-Backed;2017;Consumer Products and Services (B2C);Media;0,57;;29-Dec-2021;Seed Round;;View Company Online
157557-97T;10Sain;;Venture Capital-Backed;2016;Information Technology;Software;0,68;;01-Jun-2016;Seed Round;Wondersoft;View Company Online
38318-32T;10Six;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;0,02;;06-Mar-2014;Accelerator/Incubator;Founder.org, Surge Ventures;View Company Online
61445-62T;10Six;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;0,02;;14-May-2014;Angel (individual);Houston Angel Network;View Company Online
99934-12T;10Six;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;01-Apr-2018;Merger/Acquisition;Aerea Digital Energy Resources;View Company Online
68770-27T;10Stories;;Formerly Angel backed;2015;Information Technology;Software;0,09;;05-Feb-2016;Angel (individual);;View Company Online
70140-79T;10Stories;;Formerly Angel backed;2015;Information Technology;Software;;;12-May-2016;Merger/Acquisition;TrackMaven;View Company Online
56294-11T;10X10 Room;;Formerly Angel backed;2010;Information Technology;Software;0,09;;27-Oct-2011;Angel (individual);;View Company Online
56296-54T;10X10 Room;;Formerly Angel backed;2010;Information Technology;Software;0,06;;23-Sep-2012;Product Crowdfunding;;View Company Online
247921-12T;10X10 Room;;Formerly Angel backed;2010;Information Technology;Software;;;01-Jul-2023;Secondary Transaction - Private;;View Company Online
194672-89T;110 Efficiency;;Angel-Backed;;Energy;Energy Services;0,16;0,46;13-Oct-2020;Equity Crowdfunding;;View Company Online
135089-74T;110% Content;;Angel-Backed;2019;Consumer Products and Services (B2C);Media;5,59;22,34;25-Sep-2019;Angel (individual);Elisabeth Murdoch(Elisabeth Murdoch);View Company Online
104807-62T;12 FM;;Accelerator/Incubator Backed;;Energy;Energy Equipment;0,01;;20-Apr-2018;Accelerator/Incubator;Pulsar Venture Capital;View Company Online
252668-35T;12 Pentagons;;Accelerator/Incubator Backed;2023;Consumer Products and Services (B2C);Consumer Durables;;;01-Jan-2023;Accelerator/Incubator;Arch Grants;View Company Online
89123-32T;120MW Solar Project;;Corporate Backed or Acquired;;Energy;Other Energy;;;13-Jun-2017;Joint Venture;Ingenious Infrastructure, Stellata Energy(Troy Santen);View Company Online
90866-62T;122 Middle Investment;;Corporate Backed or Acquired;2011;Business Products and Services (B2B);Other Business Products and Services;;;01-Jan-2011;Joint Venture;Billion Land, Millennium Land;View Company Online
90867-16T;122 Middle Investment;;Corporate Backed or Acquired;2011;Business Products and Services (B2B);Other Business Products and Services;163,86;163,86;10-Sep-2014;Merger/Acquisition;Nanshan Group;View Company Online
36273-07T;123 Comply;;Corporate Backed or Acquired;2014;Information Technology;Software;;;14-Jul-2014;Merger/Acquisition;CSS IMPACT;View Company Online
224240-41T;12Climb;;Corporation;;;;0,02;;07-Jun-2021;Grant;Ukrainian Startup Fund;View Company Online
272528-47T;12Port;;Corporation;2024;Information Technology;Software;;;;Seed Round;;View Company Online
21242-98T;12Society;;Formerly VC-backed;2012;Consumer Products and Services (B2C);Media;0,76;;17-Apr-2012;Seed Round;Diego Berdakin(Diego Berdakin), Donald Hutchison(Donald Hutchison), Lightbank(Bradley Keywell), Michael Broukhim(Michael Broukhim);View Company Online
27030-16T;12Society;;Formerly VC-backed;2012;Consumer Products and Services (B2C);Media;;;05-Jul-2013;Merger/Acquisition;Quarterly(Zach Frechette);View Company Online
219218-86T;12th Player;;Accelerator/Incubator Backed;2019;Financial Services;Other Financial Services;0,02;0,27;;Accelerator/Incubator;Qatar Sportstech Accelerator;View Company Online
106150-42T;1314 Tea;;Venture Capital-Backed;2017;Consumer Products and Services (B2C);Consumer Non-Durables;2,61;;12-May-2018;Early Stage VC;;View Company Online
178975-63T;1442 S. Fallon Street;;Corporation;2017;Healthcare;Healthcare Technology Systems;0,23;;01-Jul-2021;Grant;National Science Foundation;View Company Online
61806-70T;15ShopStop;;Corporation;2014;Consumer Products and Services (B2C);Apparel and Accessories;0,18;;;Equity Crowdfunding;;View Company Online
270677-53T;16 AI;;Venture Capital-Backed;2024;Information Technology;Software;;;27-Aug-2024;Seed Round;Zhencheng Capital;View Company Online
157251-34T;160MuYing;;Venture Capital-Backed;2015;Information Technology;Software;0,68;;28-Jun-2016;Early Stage VC;QF Capital;View Company Online
122058-73T;16trips;;Accelerator/Incubator Backed;2018;Consumer Products and Services (B2C);Media;0,01;;04-Oct-2018;Accelerator/Incubator;Intelak Hub;View Company Online
167500-72T;17.com;;Venture Capital-Backed;2013;Consumer Products and Services (B2C);Transportation;1,97;;01-Jan-2015;Early Stage VC;Bangshi Capital, Yilian Capital;View Company Online
205786-00T;17dc.com;;Venture Capital-Backed;2021;Information Technology;Software;;;28-Jan-2022;Seed Round;;View Company Online
140692-96T;17huo.com;;Venture Capital-Backed;2014;Consumer Products and Services (B2C);Retail;;;01-Feb-2016;Early Stage VC;China Growth Capital, IDG Capital, Zhenshun Fund;View Company Online
270950-14T;1849 bio;;Venture Capital-Backed;2024;Business Products and Services (B2B);Commercial Services;0,46;;01-Jul-2024;Accelerator/Incubator;Y Combinator;View Company Online
271914-13T;1849 bio;;Venture Capital-Backed;2024;Business Products and Services (B2B);Commercial Services;;;15-Oct-2024;Early Stage VC;SBXi, Soma Capital;View Company Online
251586-37T;1947 Fine Indian Cuisine;;Accelerator/Incubator Backed;;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;;;;Accelerator/Incubator;JGI Ventures India;View Company Online
156577-15T;1BAND 1BRAND;;Formerly VC-backed;2010;Business Products and Services (B2B);Commercial Services;;;;Early Stage VC;York IE;View Company Online
156577-24T;1BAND 1BRAND;;Formerly VC-backed;2010;Business Products and Services (B2B);Commercial Services;;;;Secondary Transaction - Private;;View Company Online
52801-39T;1GW Wind Energy Power Plant (Gamesa/SunEdison);;Corporate Backed or Acquired;2015;Energy;Exploration, Production and Refining;;;02-Jul-2015;Joint Venture;Siemens Gamesa Renewable Energy(David Mesonero), SunEdison(Paul Gaynor);View Company Online
196307-74T;1ID;;Venture Capital-Backed;2019;Information Technology;Software;0,03;0,66;01-Nov-2021;Accelerator/Incubator;Brinc (Hong Kong);View Company Online
196308-82T;1ID;;Venture Capital-Backed;2019;Information Technology;Software;0,39;;20-Sep-2020;Seed Round;Google for Startups, Tamkeen;View Company Online
215061-49T;1ID;;Venture Capital-Backed;2019;Information Technology;Software;0,09;;;Seed Round;;View Company Online
181061-56T;1Layout;;Venture Capital-Backed;2020;Information Technology;Software;;;01-Jan-2020;Early Stage VC;Innovationsstarter;View Company Online
160017-04T;1Lin1;;Venture Capital-Backed;2015;Business Products and Services (B2B);Commercial Services;0,43;;01-Sep-2015;Early Stage VC;Frees Fund;View Company Online
66789-73T;1ofa100;;Corporation;2013;Business Products and Services (B2B);Commercial Services;;;29-Jan-2014;Capitalization;;View Company Online
130662-19T;1ping.com;;Venture Capital-Backed;2014;Healthcare;Healthcare Technology Systems;1,11;;19-May-2015;Seed Round;Dalton Venture, Empower Investment (China);View Company Online
158555-53T;1Qizhuang;;Venture Capital-Backed;2015;Business Products and Services (B2B);Commercial Services;0,68;4,54;01-May-2016;Early Stage VC;Tisiwi;View Company Online
71028-10T;1st Alaska Insurance;;Private Equity-Backed;2014;Financial Services;Insurance;;;02-Jun-2016;Buyout/LBO;AlpInvest Partners, HarbourVest Partners(Ian Lane), Hellman & Friedman(David Tunnell), Hub International(Clark Wormer);View Company Online
277664-23T;1Tern;;Accelerator/Incubator Backed;;Information Technology;Communications and Networking;;;;Accelerator/Incubator;Lyon Start Up;View Company Online
249692-23T;2 Sodas;;Angel-Backed;2023;Information Technology;Software;0,27;;17-Jan-2024;Angel (individual);;View Company Online
259121-80T;2-Challenge;;Accelerator/Incubator Backed;2013;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;Corda Campus;View Company Online
87888-34T;20Mething BIG;;Venture Capital-Backed;;Business Products and Services (B2B);Commercial Services;;;01-Jan-2016;Early Stage VC;Northern Light Venture Capital(Simon Sun);View Company Online
185340-25T;20n Bio;;Venture Capital-Backed;2021;Healthcare;Pharmaceuticals and Biotechnology;2,92;;17-Dec-2021;Seed Round;Lanchi Ventures(Tianyu Zhu);View Company Online
178777-81T;20Price;;Venture Capital-Backed;2020;Consumer Products and Services (B2C);Retail;0,28;;01-Aug-2021;Early Stage VC;Beyond Ventures, Innovation and Technology Fund;View Company Online
251500-51T;20squares;;Accelerator/Incubator Backed;2022;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;NEXT Mannheim;View Company Online
181532-08T;21 Beauty;;Venture Capital-Backed;2021;Consumer Products and Services (B2C);Consumer Non-Durables;;;11-Oct-2021;Seed Round;;View Company Online
272502-46T;21 Impact Labs;;Venture Capital-Backed;2021;Financial Services;Other Financial Services;;;01-Aug-2024;Seed Round;BeakerDAO, SpaceShip Dao;View Company Online
267663-70T;2140;;Venture Capital-Backed;;Consumer Products and Services (B2C);Media;158,89;;01-Mar-2022;Early Stage VC;YADAY;View Company Online
209574-28T;22cans;;Corporation;2012;Information Technology;Software;0,70;;03-Feb-2016;Product Crowdfunding;Kickstarter;View Company Online
273013-12T;23rd Century kids;;Venture Capital-Backed;2023;Information Technology;Software;0,81;;25-Sep-2024;Seed Round;Fast Ventures, FuturePlay, Kakao Ventures(Hye-won Ahn);View Company Online
126038-98T;24 Angels Home Care;;Accelerator/Incubator Backed;2017;Healthcare;Healthcare Services;0,01;0,13;;Accelerator/Incubator;Nexea;View Company Online
126040-24T;24 Angels Home Care;;Accelerator/Incubator Backed;2017;Healthcare;Healthcare Services;;;27-Apr-2018;Accelerator/Incubator;Selangor Information Technology and E-Commerce Council;View Company Online
249985-45T;24 Angels Home Care;;Accelerator/Incubator Backed;2017;Healthcare;Healthcare Services;;;;Accelerator/Incubator;WatchTower and Friends;View Company Online
127834-12T;24 Fresh Store;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Consumer Non-Durables;;;01-Nov-2018;Early Stage VC;Capital Today;View Company Online
45822-88T;24hae;;Corporate Backed or Acquired;2011;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;;;11-Feb-2015;Merger/Acquisition;Foodpanda(Ralf Wenzel);View Company Online
140524-12T;24JiSiXiangJia;;Venture Capital-Backed;2015;Consumer Products and Services (B2C);Restaurants, Hotels and Leisure;3,58;;30-Dec-2015;Seed Round;Alibaba Group (HKG: 09988), Zhejiang Huamei Holding Company (SHE: 000607);View Company Online
71065-63T;24tru;;Private Equity-Backed;2012;Information Technology;Software;;;01-Dec-2015;Buyout/LBO;FocusVision Worldwide(Jayme Plunkett), Thompson Street Capital Partners(James Cooper);View Company Online
49600-81T;24X7Fresh;;Failed Transaction (VC);2014;Consumer Products and Services (B2C);Services (Non-Financial);18,62;;05-May-2015;Early Stage VC;;View Company Online
165596-41T;26 Degree Digital Technology;;Venture Capital-Backed;2020;Information Technology;Software;1,27;;25-Jan-2021;Early Stage VC;Sinovation Ventures;View Company Online
188608-42T;287K;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;;;01-Jan-2022;Early Stage VC;Fil Rouge Capital;View Company Online
260229-07T;28toZero;;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;0,95;;30-May-2022;Seed Round;Sprout Agritech(Gil Meron);View Company Online
74841-04T;299 Resources;;Formerly PE-Backed;2016;Energy;Other Energy;599,28;599,28;06-Dec-2016;Merger/Acquisition;PDC Energy(Barton Brookman);View Company Online
74845-72T;299 Resources;;Formerly PE-Backed;2016;Energy;Other Energy;;;;Buyout/LBO;Kimmeridge(Benjamin Dell);View Company Online
35077-06T;29th Drive;;Corporate Backed or Acquired;2011;Information Technology;Software;;;26-Mar-2014;Merger/Acquisition;Ethology, Tallwave(Jeffrey Pruitt);View Company Online
126513-91T;2b face;;Accelerator/Incubator Backed;2015;Information Technology;Software;;;;Accelerator/Incubator;OBr.Global;View Company Online
132468-13T;2B Nano Foods;;Accelerator/Incubator Backed;;Consumer Products and Services (B2C);Consumer Non-Durables;0,03;;01-Jan-2019;Accelerator/Incubator;EIT Food;View Company Online
134684-02T;2BNanoFood;;Corporation;;Consumer Products and Services (B2C);Consumer Non-Durables;0,01;;20-Nov-2019;Grant;Jumpstarter HK;View Company Online
207742-87T;2bytes;--0,21;Venture Capital-Backed;2021;Business Products and Services (B2B);Commercial Services;5,20;;20-Jun-2022;Early Stage VC;BNK Securities, BORA CHAIN, GAIA Venture Partners, HG Ventures (South Korea), K& Investment Partners, Korea Venture Investment, KT Investment, Pearl Abyss (KRX: 263750), SOLAIRE Partners;View Company Online
227863-90T;2D Water;;Venture Capital-Backed;2017;Business Products and Services (B2B);Commercial Products;;;04-Jun-2017;University Spin-Out;;View Company Online
241687-54T;2D Water;;Venture Capital-Backed;2017;Business Products and Services (B2B);Commercial Products;3,97;9,63;13-Jul-2022;Early Stage VC;Monash Investment Holdings;View Company Online
56300-41T;2DoLife;;Corporation;2011;Information Technology;Software;0,18;;10-Nov-2013;Grant;Chase Bank;View Company Online
50686-12T;2Duche;;Venture Capital-Backed;;Consumer Products and Services (B2C);Retail;0,86;2,50;01-Jun-2006;Early Stage VC;IDG Capital, Qiming Venture Partners(Duane Kuang);View Company Online
115119-91T;2Duche;;Venture Capital-Backed;;Consumer Products and Services (B2C);Retail;2,23;9,68;01-Jul-2007;Early Stage VC;DHVC, IDG Capital, Ignition Partners, Mustang Ventures, Qiming Venture Partners(Duane Kuang);View Company Online
277528-96T;2GGO;;Accelerator/Incubator Backed;2019;Business Products and Services (B2B);Commercial Products;0,01;;05-May-2023;Grant;Startup Runway Foundation;View Company Online
277530-13T;2GGO;;Accelerator/Incubator Backed;2019;Business Products and Services (B2B);Commercial Products;;;01-Aug-2021;Accelerator/Incubator;HER Digital Incubator;View Company Online
180763-21T;2i;;Venture Capital-Backed;2014;Healthcare;Healthcare Devices and Supplies;;;01-Sep-2021;Later Stage VC;GOAT Ventures (São Paulo)(Cicero Oliveira);View Company Online
44339-41T;2lemetry;;Formerly VC-backed;2011;Information Technology;Software;4,13;;;Early Stage VC;;View Company Online
44339-68T;2lemetry;;Formerly VC-backed;2011;Information Technology;Software;3,29;24,00;09-Jan-2015;Early Stage VC;Salesforce Ventures;View Company Online
46869-22T;2lemetry;;Formerly VC-backed;2011;Information Technology;Software;;;12-Mar-2015;Merger/Acquisition;Amazon.com (NAS: AMZN);View Company Online
255253-42T;2NA FISH;;Accelerator/Incubator Backed;2020;Healthcare;Pharmaceuticals and Biotechnology;;;21-Mar-2024;Accelerator/Incubator;Science4Life;View Company Online
82724-50T;2one2Studios;;Corporation;;Information Technology;Software;0,04;;28-Feb-2015;Grant;National Science Foundation;View Company Online
106580-71T;2SaveMed;;Corporate Backed or Acquired;;Healthcare;Pharmaceuticals and Biotechnology;;;01-Jan-2015;Merger/Acquisition;Eurocept pharmaceuticals;View Company Online
212015-98T;2wappi Engineering;;Formerly Accelerator/Incubator backed;2016;Information Technology;IT Services;0,08;;08-Jun-2017;Accelerator/Incubator;Digital Attraxion;View Company Online
267627-70T;2weeks;;Venture Capital-Backed;2024;Information Technology;Software;1,15;;29-Jul-2024;Seed Round;Andreessen Horowitz, Anorak Ventures, Art Min(Art Min), Ben Cassell(Ben Cassell), Blue Heron Ventures, Brendan Iribe(Brendan Iribe), Jamie Stormbreaker(Jamie Stormbreaker), Nate Mitchell(Nate Mitchell), Nirav Patel(Nirav Patel);View Company Online
66341-98T;2wunder;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;01-Nov-2013;Accelerator/Incubator;LMU Innovation & Entrepreneurship Center;View Company Online
66342-25T;2wunder;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;01-Apr-2014;Accelerator/Incubator;Plug and Play Tech Center;View Company Online
66343-60T;2wunder;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;0,03;;21-Feb-2014;Grant;Founders Battle by Stefan Perkmann Berger;View Company Online
253644-40T;2wunder;;Formerly Accelerator/Incubator backed;2013;Information Technology;Software;;;01-Sep-2023;Secondary Transaction - Private;;View Company Online
191314-27T;3 CulinaryMed Docs;;Corporation;2021;Information Technology;Software;0,04;;01-Feb-2022;Grant;National Science Foundation Innovation Corps Program;View Company Online
191593-00T;3 CulinaryMed Docs;;Corporation;2021;Information Technology;Software;0,01;;15-Nov-2021;Grant;TTU Accelerator;View Company Online
263049-13T;3 CulinaryMed Docs;;Corporation;2021;Information Technology;Software;0,17;;28-Oct-2023;Debt - General;;View Company Online
242683-75T;3 Keys Communities;;Venture Capital-Backed;2023;Financial Services;Other Financial Services;15,34;;10-Aug-2023;Early Stage VC;;View Company Online
49530-34T;3 manufacturing facilities (Chongqing Xingqiaorui & Magna International);;Corporate Backed or Acquired;2016;Business Products and Services (B2B);Commercial Transportation;;;01-Jan-2016;Joint Venture;Chongqing Xingqiaorui, Cosma International(John Farrell);View Company Online
92175-22T;3 Sons Brewing Co.;;Failed Transaction (Angel);2014;Consumer Products and Services (B2C);Consumer Non-Durables;;;02-Aug-2017;Angel (individual);;View Company Online
255078-28T;30Radon;;Accelerator/Incubator Backed;2019;Information Technology;Computer Hardware;0,06;;01-Jan-2023;Accelerator/Incubator;InnoFounder;View Company Online
104723-11T;30sche.com;;Venture Capital-Backed;2015;Consumer Products and Services (B2C);Media;6,41;;19-Mar-2018;Early Stage VC;WeiVC, Yiche.com;View Company Online
104723-65T;30sche.com;;Venture Capital-Backed;2015;Consumer Products and Services (B2C);Media;2,03;;04-Aug-2016;Early Stage VC;AutoHome (HKG: 02518), Meridian Capital China, Pine Cypress Fund;View Company Online
135533-80T;31Qu;;Venture Capital-Backed;2018;Consumer Products and Services (B2C);Media;;;18-Mar-2018;Early Stage VC;DFund;View Company Online
212786-38T;321 Ventures;;Venture Capital-Backed;2005;Information Technology;Software;;;22-Feb-2022;Early Stage VC;;View Company Online
115308-10T;321Cooking;;Venture Capital-Backed;2016;Consumer Products and Services (B2C);Services (Non-Financial);;;20-Dec-2017;Early Stage VC;Bits x Bites(Matilda Ho);View Company Online
266526-01T;33voices;;Accelerator/Incubator Backed;2005;Business Products and Services (B2B);Commercial Services;;;;Accelerator/Incubator;AstroLabs;View Company Online
135174-34T;34 Learning;;Venture Capital-Backed;2015;Business Products and Services (B2B);Commercial Services;;;19-Jan-2018;Early Stage VC;Yingke Capital;View Company Online
214466-32T;34 Lives;;Venture Capital-Backed;2020;Healthcare;Healthcare Services;;;24-Oct-2022;Early Stage VC;NKF Innovation Fund(Kevin Longino);View Company Online
223347-79T;34-35 New Bond Street;--11,58;Angel-Backed;2019;Financial Services;Other Financial Services;9,00;105,48;12-Apr-2023;Angel (individual);;View Company Online
270260-02T;350 PPM;;Pending Transaction (VC);2012;Financial Services;Capital Markets/Institutions;1,18;14,10;;Seed Round;;View Company Online
271985-95T;350 PPM;;Pending Transaction (VC);2012;Financial Services;Capital Markets/Institutions;0,01;0,07;20-Dec-2016;Angel (individual);;View Company Online
261369-01T;35elements;;Corporation;2019;Information Technology;Semiconductors;;;01-Jan-2019;University Spin-Out;University of Illinois Urbana-Champaign;View Company Online
101441-08T;360 Blockchain and NOS Blockchain (Joint Venture);;Corporate Backed or Acquired;2017;Business Products and Services (B2B);Commercial Services;;;08-Nov-2017;Joint Venture;Cypher Metaverse (CNQ: CODE)(George Tsafalas), NOS Blockchain;View Company Online
